"State","OBJECTID","ZIP","OBJECTID_1","DEPCODE","COUNTYNAME","FieldMatch","POName","Places","OBJECTID_12","ZIPX","c_places","Cases_1","LabelY"
"Florida",546,"33154",940,13,"Dade","Dade-33154","Miami Beach","Surfside, Bal Harbour, Miami Beach, North Miami",255,"Dade-33154","Bal Harbour, Bay Harbor Islands, Indian Creek Village, Miami, Miami Beach, Surfside","370",370
"Florida",547,"33155",941,13,"Dade","Dade-33155","Miami","West Miami, Coral Gables, South Miami, Coral Terrace, Glenvar Heights, Olympia Heights, Westchester",256,"Dade-33155","Miami, Miami Beach, West Miami","2259",2259
"Florida",549,"33157",943,13,"Dade","Dade-33157","Miami","Cutler Bay, Palmetto Bay, Kendall, Palmetto Estates, Richmond Heights, South Miami Heights, West Perrine",258,"Dade-33157","Cutler Bay, Cutler Ridge, Miami, Palmetto Bay, Perrine, Pinecrest, South Miami Heights, Village Of Palmetto Bay","3680",3680
"Florida",550,"33158",944,13,"Dade","Dade-33158","Miami","Coral Gables, Pinecrest, Palmetto Bay, Kendall",259,"Dade-33158","Coral Gables, Miami, Palmetto Bay, Village Of Palmetto Bay","163",163
"Florida",551,"33160",946,13,"Dade","Dade-33160","North Miami Beach","North Miami Beach, Sunny Isles Beach, Aventura, North Miami, Golden Beach, Hallandale Beach, Ojus",260,"Dade-33160","Aventura, Cleveland, Golden Beach, Miami, North Miami Beach, Sunny Isles Beach","1231",1231
"Florida",552,"33161",947,13,"Dade","Dade-33161","Miami","North Miami Beach, Biscayne Park, North Miami, Miami Shores, Golden Glades",261,"Dade-33161","Aventura, Biscayne Park, Miami, Miami Gardens, North Miami","2325",2325
"Florida",553,"33162",948,13,"Dade","Dade-33162","Miami","North Miami Beach, North Miami, Golden Glades, Ojus",262,"Dade-33162","Miami, Miami Beach, North Miami Beach, Uleta","1833",1833
"Florida",554,"33165",949,13,"Dade","Dade-33165","Miami","Olympia Heights, Sunset, University Park, Westchester, Westwood Lakes",263,"Dade-33165","Miami","3752",3752
"Florida",555,"33166",950,13,"Dade","Dade-33166","Miami","Doral, Hialeah, Hialeah Gardens, Medley, Virginia Gardens, Miami Springs",264,"Dade-33166","Doral, Medley, Miami, Miami Springs, Virginia Gardens","1618",1618
"Florida",556,"33167",951,13,"Dade","Dade-33167","Miami","Hialeah, North Miami, Opa-locka, Golden Glades, Pinewood, West Little River, Westview",265,"Dade-33167","Miami, North Miami","945",945
"Florida",557,"33168",952,13,"Dade","Dade-33168","Miami","North Miami, Miami Shores, Golden Glades, Pinewood",266,"Dade-33168","Miami, Miami Shores, North Miami","1162",1162
"Florida",558,"33169",954,13,"Dade","Dade-33169","Miami","North Miami Beach, Miami Gardens, Miramar, West Park, Golden Glades",267,"Dade-33169","Miami, Miami Gardens, North Miami Beach, Opa Locka","1936",1936
